,viewed
1534,1
1537,1
1540,1
1542,1
1544,1
1546,1
1549,0
1550,1
1553,0
1554,1
1557,0
1558,1
1560,0
1561,1
1564,0
1565,0
1567,1
1570,1
1573,0
1575,0
1576,1
1578,1
1581,1
1583,1
1586,1
1589,1
1591,1
1594,0
1595,1
1598,0
1600,0
1602,0
1603,0
1604,1
1606,0
1607,0
1609,1
1612,1
1615,1
1618,1
1621,1
1623,1
1626,1
1628,1
1630,0
1632,1
1635,0
1637,0
1638,0
1639,1
1642,0
1643,0
1644,0
1646,0
1647,0
1649,1
1652,0
1653,1
1656,0
1657,0
1658,0
1660,0
1662,0
1663,1
1666,0
1668,0
1669,1
1672,0
1674,0
1675,1
1678,1
1680,0
1681,1
1684,1
1687,0
1688,0
1689,0
1690,1
1693,1
1695,0
1696,1
1699,1
1702,1
1705,1
1708,1
1711,0
1712,1
1715,0
1716,0
1717,1
1719,1
1722,1
1725,1
1727,1
1729,0
1730,1
1732,0
1734,1
1737,1
1739,1
1741,0
1743,1
1745,0
1746,1
1748,1
1751,0
1753,0
1755,0
1756,1
1759,1
1761,1
1763,0
1764,0
1765,0
1767,0
1768,0
1769,0
1770,0
1771,0
1773,1
1775,0
1776,0
1778,1
1780,1
1783,1
1786,0
1788,0
1789,0
1791,1
1793,1
1796,1
1799,1
1801,0
1802,1
1805,1
1807,1
1809,1
1812,0
1813,0
1815,1
1818,0
1819,0
1821,1
1824,1
1827,0
1829,1
1832,1
1835,0
1836,1
1839,0
1840,0
1842,0
1844,0
1845,0
1846,0
1848,1
1851,1
1854,1
1856,1
1858,1
1860,1
1863,1
1865,1
1868,0
1869,1
1872,1
1874,1
1876,1
1879,0
1880,0
1881,0
1883,1
1886,0
1887,0
1888,1
1891,1
1894,0
1896,1
1898,1
1900,1
1903,1
1905,0
1907,0
1909,1
1912,1
1915,1
1918,1
1921,1
1924,1
1926,0
1928,0
1930,1
1932,1
1934,1
1937,1
1940,0
1941,1
1943,0
1944,0
1946,1
1948,1
1950,0
1951,0
1952,1
1954,1
1957,1
1960,1
1963,1
1966,0
1967,1
1969,1
1973,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1983,0
1985,0
1987,1
1990,1
1993,0
1995,0
1996,0
1998,0
1999,1
2000,1
2003,1
2005,1
2007,0
2008,0
2010,0
2011,1
2013,1
2015,0
2017,1
2019,1
2022,1
2025,1
2028,1
2031,0
2033,0
2035,1
2038,0
2039,0
2041,0
2042,1
2044,0
2046,1
2049,0
2051,0
2053,0
2055,1
2058,0
2060,0
2062,0
2063,1
2066,0
2067,1
2069,1
2072,1
2074,0
2075,0
2077,1
2080,0
2081,0
2082,1
2084,1
2087,1
2090,1
2093,1
2096,1
2099,1
2101,1
2104,0
2106,1
2109,0
2110,1
2113,1
2115,0
2117,1
2119,0
2121,0
2123,1
2126,0
2127,1
2130,0
2132,0
2133,0
2135,1
2138,1
2141,0
2142,0
2143,0
2145,1
2147,0
2148,0
2149,1
2152,1
2155,0
2156,1
2158,0
2160,0
2161,1
2163,0
2164,1
2167,0
2169,1
2171,0
2172,1
2175,1
2178,1
2180,1
2183,0
2184,1
2186,1
2188,0
2190,1
2193,1
2196,1
2198,1
2201,0
2203,1
2206,0
2208,0
2210,1
2213,0
2214,0
2215,1
2217,1
2219,1
2221,0
2222,0
2223,1
2226,1
2229,0
2230,1
2233,0
2235,0
2237,1
2240,0
2242,0
2243,1
2246,0
2248,0
2250,0
2252,0
2253,0
2255,1
2258,1
2260,1
2263,0
2264,0
2266,1
2268,0
2269,1
2271,1
2274,0
2276,0
2277,0
2278,1
2281,0
2283,1
2286,1
2288,1
2291,1
2294,1
2297,1
2300,1
2302,0
2303,1
2306,0
2309,0
2311,0
2312,1
2315,0
2316,1
2319,1
2322,0
2323,1
2326,1
2328,1
2330,0
2331,1
2334,1
2337,1
2340,1
2343,0
2344,1
2347,1
2349,0
2351,0
2352,0
2354,0
2355,1
2357,1
2360,1
2362,1
2364,1
2367,1
2370,1
2373,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,1
2387,0
2389,0
2390,1
2393,0
2394,0
2396,1
2398,0
2400,0
2402,1
2405,1
2407,1
2410,1
2413,1
2415,1
2417,0
2419,1
2422,1
2424,1
2426,0
2427,0
2428,0
2430,0
2431,0
2432,0
2434,1
2436,0
2437,1
2440,1
2443,1
2446,1
2449,1
2452,0
2453,0
2454,0
2456,0
2459,0
2460,1
2462,1
2465,1
2467,1
2470,1
2473,1
2476,0
2478,0
2480,1
2483,1
2485,1
2488,1
2491,1
2494,1
2496,1
2499,0
2500,0
2502,0
2504,1
2507,0
2509,0
2510,0
2512,1
2514,1
2516,1
2519,1
2522,1
2525,0
2526,0
2527,0
2528,1
2530,1
2532,0
2534,0
2536,0
2537,0
2538,0
2540,1
2542,1
2544,0
2545,1
2547,0
2549,0
2551,0
2552,0
2554,0
2555,1
2557,0
2558,0
2559,1
2562,1
2565,0
2566,1
2569,0
2571,1
2573,1
2575,0
2576,0
2577,1
2580,0
2582,0
2583,1
2585,0
2586,1
2589,0
2591,0
2593,1
2595,0
2597,1
2600,1
2603,1
2606,1
2609,1
2611,0
2613,1
2616,1
2619,1
2621,1
2624,1
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,1
2635,1
2638,0
2639,1
2641,1
2644,1
2646,1
2649,0
2651,1
2654,1
2657,0
2658,0
2659,1
2661,1
2664,1
2667,0
2668,1
2671,1
2674,1
2677,1
2679,1
2682,0
2684,1
2686,1
2689,1
2692,1
2695,1
2697,0
2698,1
2701,1
2703,1
2706,0
2707,1
2710,0
2712,0
2713,1
2716,1
2718,0
2720,0
2722,0
2723,0
2724,0
2725,0
2727,0
2728,1
2730,1
2731,1
2733,1
2735,1
2738,0
2739,0
2740,1
2743,1
2746,0
2747,1
2750,1
2753,1
2756,1
2759,0
2760,0
2761,1
2763,1
2764,1
2766,1
2769,0
2772,0
2774,1
2776,1
2778,1
2781,1
2784,1
2787,1
2790,1
2793,1
2796,0
2798,1
2800,1
2803,0
2804,0
2805,0
2807,0
2808,0
2810,1
2813,1
2815,0
2816,0
2817,0
2818,0
2820,1
2823,0
2824,1
2827,1
2830,0
2831,0
2832,0
2833,1
2836,1
2839,0
2840,1
2842,1
2845,0
2847,1
2849,1
2852,0
2853,1
2856,0
2857,1
2860,0
2861,0
2862,1
2864,0
2865,0
2867,1
2869,0
2871,1
2873,1
2874,1
2876,0
2877,1
2879,1
2881,1
2884,0
2885,0
2887,0
2889,0
2890,0
2891,1
2894,0
2896,0
2897,1
2899,1
2902,1
2905,1
2908,1
2910,1
2913,1
2916,1
2919,1
2921,0
2922,1
2925,0
2927,1
2930,1
2932,1
2935,1
2938,0
2939,1
2942,1
2944,0
2946,1
2948,0
2950,0
2951,0
2953,0
2954,0
2956,1
2959,0
2961,0
2963,1
2965,1
2967,0
2968,1
2971,0
2973,0
2974,1
2977,0
2978,1
2980,1
2982,1
2985,1
2988,1
2991,0
2993,0
2995,1
2998,0
3000,1
3002,1
3004,0
3005,0
3007,0
3008,0
3009,1
3011,0
3012,1
3015,1
3018,0
3019,0
3020,1
3022,0
3024,1
3026,0
3027,1
3030,1
3032,1
3035,1
3038,1
3040,1
3043,1
3045,1
3048,1
3051,1
3054,1
3057,0
3059,1
3062,1
3064,1
3066,1
3068,0
3070,0
3071,1
3073,0
3074,1
3077,0
3078,1
3081,0
3082,0
3083,0
3085,0
3086,0
3088,0
3089,0
3090,1
3093,1
3096,0
3098,1
3101,0
3102,1
3105,1
3107,1
3109,1
3111,1
3113,0
3115,1
3118,1
3120,1
3123,1
3126,1
3129,0
3131,0
3132,0
3133,0
3135,0
3137,0
3139,1
3141,1
3143,1
3145,0
3147,1
3149,0
3151,1
3154,0
3156,1
3158,0
3159,0
3160,0
3161,1
3164,1
3166,0
3167,0
3168,1
3171,1
3173,0
3174,1
3177,1
3180,0
3181,0
3182,1
3185,0
3186,1
3189,0
3190,0
3191,0
3193,0
3194,0
3195,1
3198,0
3200,1
3203,0
3204,1
3206,1
3209,0
3210,1
3212,1
3215,0
3216,0
3218,1
3221,0
3222,0
3225,1
3228,1
3230,0
3231,0
3233,0
3235,0
3236,1
3239,0
3240,0
3241,0
3243,1
3246,0
3248,1
3250,0
3252,1
3253,1
3256,0
3257,0
3258,1
3260,1
3263,0
3264,0
3266,1
3269,0
3270,0
3271,0
3272,1
3275,1
3277,1
3279,1
3281,0
3282,1
3285,1
3288,1
3290,0
3291,1
3294,0
3295,0
3297,0
3299,1
3302,0
3303,1
3306,1
3309,1
3311,0
3312,0
3313,1
3315,1
3318,1
3320,0
3322,1
3325,0
3326,1
3329,1
3331,1
3333,1
3336,1
3339,1
3342,1
3344,1
3347,1
3350,1
3352,0
3354,1
3357,1
3359,0
3361,1
3364,0
3366,0
3367,0
3368,1
3371,1
3373,1
3376,1
3379,1
3382,1
3385,1
3388,0
3389,1
3392,1
3395,0
3396,1
3398,0
3400,0
3401,0
3402,1
3405,0
3406,1
3409,0
3411,1
3414,0
3415,0
3416,1
3419,1
3422,1
3425,1
3428,0
3429,1
3432,0
3433,1
3436,1
3438,1
3440,0
3441,1
3443,0
3444,0
3445,0
3447,1
3449,1
3452,1
3455,1
3458,0
3460,1
3462,1
3465,0
3466,0
3468,1
3471,1
3473,1
3476,1
3478,1
3481,0
3483,1
3485,1
3487,1
3490,1
3493,0
3494,1
3496,1
3498,1
3500,1
3503,1
3505,1
3508,1
3510,0
3512,0
3513,1
3515,0
3516,0
3518,0
3520,1
3522,1
3524,1
3526,0
3528,0
3529,1
3531,0
3532,1
3534,0
3535,0
3537,1
3540,0
3542,0
3544,0
3545,1
3547,1
3550,0
3551,0
3552,0
3553,1
3556,1
3559,1
3562,0
3564,0
3565,0
3567,1
3570,0
3572,0
3573,0
3574,1
3577,0
3578,0
3579,1
3581,0
3582,0
3583,1
3585,0
3586,1
3589,1
3591,1
3594,0
3595,0
3596,1
3599,1
3601,0
3603,0
3604,1
3606,0
3607,1
3610,0
3611,0
3612,1
3615,0
3616,1
3618,1
3621,0
3623,0
3625,1
3628,0
3630,1
3632,0
3633,1
3636,1
3639,0
3641,1
3643,1
3645,1
3648,0
3649,1
3652,1
3655,1
3658,0
3659,1
3662,0
3664,1
3667,1
3669,1
3671,1
3673,0
3675,0
3677,1
3680,1
3682,0
3683,0
3684,0
3685,1
3688,1
3691,1
3693,0
3694,1
3697,0
3698,0
3699,1
3702,0
3703,0
3704,0
3705,0
3707,1
3709,1
3711,1
3714,0
3716,1
3719,0
3720,1
3722,0
3723,0
3724,0
3726,1
3729,0
3730,1
3733,0
3735,1
3738,0
3739,0
3741,1
3744,0
3746,1
3748,1
3751,0
3752,1
3755,1
3757,1
3760,0
3762,0
3764,1
3767,1
3769,1
3771,1
3774,1
3776,0
3777,0
3778,0
3779,1
3781,1
3784,0
3786,0
3788,0
3789,0
3790,0
3791,0
3793,1
3796,1
3799,0
3800,1
3803,1
3806,0
3808,0
3809,1
3811,1
3814,0
3816,1
3819,0
3821,0
3822,0
3823,1
3825,0
3827,1
3830,0
3832,1
3835,1
3838,0
3840,1
3843,1
3846,1
3848,0
3850,1
3853,0
3855,1
3858,1
3861,1
3864,1
3866,1
3869,1
3872,1
3875,0
3876,1
3878,0
3879,0
3880,1
3883,0
3885,1
3888,0
3890,0
3892,0
3893,1
3896,1
3899,1
3901,0
3902,0
3903,0
3904,1
3906,1
3909,1
3911,0
3913,1
3916,0
3917,0
3918,1
3921,1
3924,1
3927,0
3928,1
3931,1
3934,0
3936,1
3938,1
3941,1
3942,1
3945,0
3947,0
3949,0
3951,1
3954,0
3956,0
3958,1
3960,1
3962,0
3964,0
3965,1
3967,1
3969,0
3970,0
3972,0
3973,0
3975,0
3977,0
3978,0
3980,1
3982,0
3984,0
3986,1
3989,1
3992,1
3995,1
3998,0
4000,1
4003,0
4004,0
4006,0
4007,1
4009,1
4012,0
4013,1
4016,1
4019,1
4022,0
4024,0
4026,1
4028,0
4030,0
4032,1
4035,1
4037,1
4040,1
4042,1
4044,1
4046,1
4048,1
4051,0
4052,0
4054,0
4056,0
4057,1
4059,0
4061,1
4064,1
4067,1
4070,1
4073,1
4076,1
4079,0
4080,0
4081,0
4083,0
4084,0
4085,1
4088,0
4090,1
4093,0
4095,1
4097,0
4098,1
4101,1
4104,1
4107,1
4110,0
4112,0
4113,0
4115,0
4117,1
4119,0
4121,0
4122,1
4124,1
4127,1
4130,0
4131,0
4132,0
4134,0
4135,1
4137,1
4139,1
4142,0
4143,1
4146,1
4149,0
4151,0
4152,0
4154,1
4157,1
4159,1
4161,0
4162,1
4165,0
4166,1
4169,0
4171,0
4172,1
4174,1
4177,1
4179,0
4180,1
4183,0
4184,1
4187,1
4190,0
4191,1
4194,0
4196,1
4199,0
4200,1
4203,1
4206,1
4209,0
4210,1
4212,1
4214,1
4217,0
4218,0
4219,0
4220,1
4222,0
4224,0
4226,1
4228,0
4230,0
4232,0
4233,0
4234,1
4236,1
4239,0
4241,1
4244,0
4245,0
4246,1
4249,0
4250,1
4253,0
4254,1
4256,0
4257,1
4260,0
4261,0
4262,1
4265,1
4268,1
4271,0
4273,0
4274,0
4275,0
4276,0
4277,1
4280,1
4283,1
4286,0
4288,0
4289,0
4290,1
4293,0
4295,0
4296,0
4297,1
4299,1
4302,1
4304,0
4306,1
4308,1
4310,1
4312,0
4313,1
4315,1
4318,1
4320,0
4321,1
4323,0
4324,0
4325,0
4326,1
4328,1
4331,0
4332,1
4335,0
4337,1
4339,1
4341,0
4343,1
4346,1
4349,1
4351,0
4352,0
4353,0
4354,1
4357,1
4359,0
4360,1
4362,0
4364,0
4365,1
4368,0
4369,1
4372,1
4375,1
4377,0
4379,1
4381,1
4383,1
4386,0
4387,1
4389,1
4392,1
4395,0
4397,0
4398,0
4399,1
4402,1
4405,1
4408,1
4411,0
4413,1
4416,1
4419,1
4422,1
4424,1
4427,1
4430,0
4432,1
4435,0
4436,0
4437,1
4440,1
4442,0
4444,1
4446,0
4447,0
4449,1
4452,1
4455,1
4458,1
4461,1
4463,0
4464,1
4467,1
4470,0
4472,1
4474,0
4476,0
4478,1
4481,0
4483,1
4486,1
4488,1
4491,1
4494,0
4495,0
4497,0
4498,1
4501,0
4502,1
4505,0
4506,0
4507,0
4509,0
4510,0
4512,1
4515,1
4518,0
4519,1
4522,0
4523,0
4524,1
4527,1
4530,1
4533,0
4535,1
4538,1
4541,1
4544,1
4546,0
4547,0
4549,0
4550,1
4553,1
4556,1
4558,0
4559,1
4562,1
4564,1
4567,0
4568,1
4570,0
4571,1
4573,1
4576,0
4577,1
4578,1
4581,0
4582,1
4585,1
4588,1
4591,1
4594,0
4595,1
4598,1
4601,0
4602,1
4605,1
4608,1
4611,0
4612,0
4614,1
4616,1
4618,1
4621,1
4624,1
4627,0
4628,0
4629,0
4630,1
4633,1
4635,0
4637,1
4639,0
4640,0
4642,0
4643,1
4646,0
4648,0
4649,1
4652,0
4654,1
4657,1
4659,0
4660,1
4662,1
4665,0
4666,1
4669,0
4670,1
4673,0
4674,1
4676,1
4678,0
4679,1
4682,1
4684,0
4685,1
4687,0
4688,1
4691,0
4692,1
4694,1
4696,1
4699,0
4700,1
4702,0
4704,0
4706,1
4709,0
4711,0
4712,1
4714,1
4716,1
4719,1
4722,0
4724,0
4725,0
4726,0
4727,1
4729,1
4731,1
4734,1
4736,1
4739,0
4740,1
4743,1
4746,1
4748,1
4750,1
4753,1
4756,1
4759,0
4760,1
4763,1
4766,1
4769,0
4770,1
4773,0
4775,0
4776,0
4778,1
4781,1
4784,1
4787,1
4790,1
4793,0
4794,0
4795,0
4796,1
4799,0
4801,1
4804,1
4807,0
4809,1
4811,1
4814,0
4816,1
4819,1
4822,1
4824,1
4826,0
4827,0
4828,1
4830,1
4832,0
4833,1
4835,1
4838,0
4840,1
4842,1
4844,1
4847,0
4848,1
4850,1
4853,0
4854,0
4855,1
4857,1
4859,0
4861,0
4862,1
4864,0
4865,1
4868,0
4869,0
4870,0
4872,1
4875,0
4876,1
4878,1
4881,1
4884,1
4887,0
4889,1
4892,0
4894,1
4897,0
4899,0
4900,1
4903,1
4906,1
4908,0
4909,1
4912,0
4913,1
4916,0
4918,0
4919,0
4920,0
4921,0
4923,0
4924,1
4927,1
4930,1
4933,1
4936,1
4939,0
4940,0
4942,0
4944,1
4947,0
4948,1
4951,0
4953,0
4954,0
4956,1
4959,0
4961,1
4963,0
4964,1
4967,0
4969,0
4970,0
4971,0
4972,0
4973,1
4975,0
4976,1
4979,0
4980,0
4982,0
4984,1
4987,1
4990,1
4992,0
4993,0
4994,0
4996,0
4997,0
4998,0
5000,0
5001,0
5003,1
5006,1
5009,0
5010,1
5013,1
5016,0
5018,1
5021,0
5022,1
5023,1
5026,1
5028,1
5031,1
5034,1
5037,1
5040,0
5042,0
5043,0
5044,0
5045,1
5047,1
5049,0
5050,0
5051,1
5053,1
5055,0
5056,1
5059,0
5060,0
5062,1
5064,0
5066,1
5069,1
5071,1
5074,1
5077,1
5080,0
5082,0
5083,0
5084,0
5085,0
5086,1
5089,0
5090,1
5093,0
5094,1
5096,1
5099,1
5101,1
5103,0
5105,0
5106,1
5108,1
5110,1
5113,0
5114,0
5115,1
5117,0
5118,0
5119,1
5122,1
5125,0
5126,0
5127,1
5130,1
5132,1
5135,1
5138,0
5139,0
5141,0
5142,1
5145,1
5148,1
5151,1
5153,1
5155,0
5156,0
5158,0
5160,0
5161,1
5164,0
5165,1
5168,1
5171,0
5173,1
5176,1
5179,1
5181,0
5182,1
5184,0
5185,1
5188,1
5191,1
5194,1
5196,0
5198,1
5201,1
5203,1
5205,1
5208,0
5209,0
5211,0
5212,1
5214,0
5215,1
5218,0
5219,1
5221,1
5222,1
5225,1
5227,1
5230,1
5232,1
5235,1
5238,0
5240,1
5243,1
5246,1
5249,0
5250,1
5253,0
5254,1
5257,1
5260,0
5261,0
5263,0
5264,1
5266,0
5267,0
5269,0
5271,1
5273,0
5274,1
5276,1
5279,1
5281,0
5282,0
5284,0
5286,0
5287,1
5290,1
5292,0
5294,1
5297,0
5298,0
5299,1
5301,1
5303,1
5305,1
5308,0
5309,1
5312,1
5314,0
5315,0
5317,0
5319,0
5321,1
5324,1
5327,0
5328,0
5330,0
5332,1
5334,1
5336,1
5338,1
5340,1
5343,1
5346,1
5349,1
5352,0
5353,1
5356,1
5359,0
5360,0
5361,1
5364,1
5367,1
5370,1
5373,1
5375,1
5378,0
5381,1
5384,0
5385,0
5387,0
5388,1
5390,1
5392,0
5393,0
5395,0
5396,1
5398,0
5399,0
5400,1
5402,1
5405,1
5408,1
5411,1
5414,0
5416,1
5419,1
5422,0
5424,1
5426,1
5429,1
5431,1
5434,1
5437,1
5440,1
5443,0
5445,0
5447,1
5449,1
5452,0
5453,1
5456,1
5459,0
5460,0
5461,0
5462,1
5464,1
5467,1
5469,0
5470,1
5473,0
5474,1
5476,1
5478,1
5481,0
5482,1
5484,0
5486,0
5487,0
5488,1
5491,1
5494,1
5497,0
5498,1
5500,0
5501,0
5502,1
5505,1
5508,0
5510,1
5513,1
5516,1
5519,1
5521,1
5523,0
5525,0
5526,1
5528,0
5531,0
5532,0
5534,1
5536,1
5538,1
5540,0
5542,1
5545,1
5547,1
5549,1
5551,0
5553,0
5555,0
5557,1
5560,1
5562,0
5564,0
5565,1
5567,1
5570,0
5571,1
5574,0
5576,1
5579,0
5580,1
5583,0
5584,0
5585,1
5588,1
5590,0
5592,0
5594,1
5597,1
5599,1
5602,1
5605,0
5607,1
5610,1
5613,1
5616,1
5619,1
5622,0
5623,1
5626,1
5629,0
5630,0
5631,1
5634,1
5637,1
5640,0
5641,0
5642,1
5645,1
5647,1
5650,1
5653,0
5654,0
5656,0
5657,1
5660,0
5662,0
5664,0
5665,1
5668,1
5671,0
5672,0
5673,1
5676,1
5678,1
5680,0
5682,0
5683,0
5685,0
5687,1
5690,0
5691,1
5694,1
5697,1
5699,1
5702,1
5704,1
5707,1
5709,1
5711,1
5714,0
5716,1
5718,1
5721,0
5722,0
5724,0
5726,1
5728,0
5729,1
5731,1
5733,0
5735,1
5738,1
5741,0
5742,0
5743,1
5746,1
5749,1
5752,1
5754,0
5755,1
5757,1
5759,1
5762,0
5763,1
5765,1
5766,1
5769,0
5771,0
5773,0
5774,0
5776,1
5779,1
5782,0
5783,0
5784,0
5785,0
5786,1
5789,0
5791,1
5794,0
5795,1
5798,1
5801,0
5802,1
5804,1
5806,0
5808,0
5810,0
5811,1
5813,1
5815,0
5816,0
5817,0
5819,1
5822,1
5824,1
5827,0
5828,0
5829,1
5832,1
5835,1
5837,1
5840,1
5842,1
5845,1
5848,1
5851,1
5854,1
5857,1
5860,0
5862,0
5863,0
5864,0
5865,0
5866,1
5869,1
5872,1
5875,0
5877,0
5878,1
5881,1
5884,0
5886,1
5889,1
5892,1
5894,1
5897,1
5900,0
5901,0
5904,0
5906,1
5908,1
5911,1
5914,1
5916,1
5918,1
5921,0
5923,0
5924,1
5927,1
5930,0
5932,1
5935,0
5936,0
5937,0
5938,1
5940,1
5943,0
5945,0
5947,0
5949,0
5950,0
5951,1
5953,0
5955,0
5956,1
5958,1
5961,1
5964,1
5967,1
