,completed
925,1
927,1
929,0
930,1
932,1
934,0
936,0
937,0
939,0
941,0
943,0
944,0
945,1
948,0
949,1
952,0
953,1
956,1
959,0
960,0
961,0
963,1
966,0
967,1
970,0
971,0
973,1
975,1
978,0
979,1
982,0
983,1
986,0
987,1
989,1
992,1
995,0
997,0
998,1
1001,0
1002,0
1004,0
1005,0
1006,1
1009,1
1011,1
1014,0
1015,0
1017,0
1018,1
1021,1
1024,0
1025,0
1026,1
1029,1
1032,0
1033,1
1036,1
1039,1
1042,0
1043,1
1046,1
1049,0
1051,0
1053,1
1056,1
1059,0
1061,0
1063,0
1064,1
1067,1
1069,1
1072,0
1073,1
1076,1
1079,0
1081,0
1082,1
1085,1
1088,1
1090,0
1091,0
1092,1
1095,1
1097,0
1099,0
1100,0
1101,1
1103,1
1106,1
1109,0
1110,0
1111,1
1114,0
1116,0
1117,0
1118,0
1119,0
1121,1
1124,1
1127,0
1129,1
1130,1
1133,1
1135,1
1138,0
1139,1
1141,1
1144,0
1146,1
1149,0
1150,1
1152,0
1153,1
1156,1
1159,1
1162,1
1165,0
1166,1
1168,1
1171,1
1173,1
1176,0
1178,1
1181,1
1183,1
1186,0
1187,1
1190,0
1191,1
1194,0
1195,1
1196,1
1199,1
1202,1
1205,1
1207,1
1210,1
1213,0
1215,0
1217,0
1218,0
1219,0
1220,1
1222,1
1225,1
1228,1
1231,0
1232,0
1234,0
1235,1
1237,1
1240,0
1241,1
1244,0
1245,0
1246,1
1248,0
1250,0
1252,1
1255,0
1256,0
1258,0
1259,0
1260,0
1261,1
1264,1
1267,0
1268,0
1269,1
1271,0
1273,1
1276,1
1279,0
1280,0
1282,1
1284,0
1285,0
1287,0
1288,0
1290,0
1292,0
1293,0
1294,0
1295,0
1296,1
1298,0
1299,1
1300,1
1302,1
1304,0
1306,0
1307,0
1308,1
1311,1
1314,0
1316,1
1319,0
1321,0
1322,0
1324,0
1325,1
1327,1
1330,0
1332,0
1334,1
1337,1
1340,1
1342,0
1344,1
1347,0
1348,0
1349,0
1351,1
1354,1
1356,0
1357,1
1359,1
1362,0
1363,0
1364,1
1367,0
1368,0
1369,0
1370,1
1373,1
1376,1
1379,1
1382,0
1384,1
1387,1
1390,0
1392,1
1395,1
1398,1
1400,1
1403,0
1404,1
1407,0
1408,1
1410,0
1412,0
1414,1
1417,1
1420,0
1421,0
1422,0
1424,1
1426,0
1428,0
1430,1
1433,1
1435,1
1437,1
1440,1
1443,0
1445,1
1448,1
1451,1
1454,0
1456,1
1458,1
1461,0
1463,1
1465,0
1467,1
1470,0
1472,1
1475,1
1478,1
1480,0
1481,0
1483,0
1484,0
1486,1
1489,1
1492,0
1493,1
1495,1
1498,0
1500,0
1501,0
1503,0
1504,0
1505,0
1506,0
1507,1
1510,0
1512,1
1515,1
1517,1
1519,1
1522,0
1524,0
1526,0
1527,0
1529,1
1532,1
1534,1
1537,1
1540,0
1542,0
1544,0
1546,1
1549,0
1550,1
1553,0
1554,1
1557,0
1558,0
1560,0
1561,1
1564,0
1565,1
1567,1
1570,1
1573,1
1575,0
1576,0
1578,1
1581,0
1583,1
1586,1
1589,0
1591,1
1594,0
1595,1
1598,1
1600,1
1602,0
1603,0
1604,0
1606,0
1607,1
1609,1
1612,1
1615,1
1618,1
1621,0
1623,1
1626,0
1628,0
1630,0
1632,1
1635,1
1637,0
1638,0
1639,1
1642,0
1643,1
1644,1
1646,0
1647,1
1649,1
1652,0
1653,1
1656,0
1657,0
1658,1
1660,1
1662,0
1663,1
1666,1
1668,0
1669,1
1672,1
1674,0
1675,1
1678,0
1680,0
1681,1
1684,1
1687,0
1688,0
1689,0
1690,1
1693,0
1695,0
1696,1
1699,1
1702,1
1705,1
1708,1
1711,0
1712,1
1715,0
1716,0
1717,0
1719,1
1722,1
1725,0
1727,0
1729,0
1730,0
1732,1
1734,1
1737,0
1739,0
1741,1
1743,0
1745,0
1746,0
1748,1
1751,1
1753,1
1755,0
1756,1
1759,0
1761,0
1763,0
1764,0
1765,1
1767,0
1768,0
1769,0
1770,0
1771,1
1773,0
1775,0
1776,1
1778,0
1780,1
1783,1
1786,1
1788,0
1789,1
1791,0
1793,1
1796,1
1799,0
1801,0
1802,1
1805,0
1807,0
1809,1
1812,0
1813,1
1815,1
1818,0
1819,1
1821,1
1824,1
1827,1
1829,1
1832,1
1835,0
1836,1
1839,0
1840,1
1842,1
1844,0
1845,0
1846,1
1848,1
1851,1
1854,0
1856,0
1858,0
1860,1
1863,0
1865,1
1868,0
1869,1
1872,0
1874,0
1876,1
1879,0
1880,0
1881,1
1883,1
1886,0
1887,0
1888,1
1891,1
1894,1
1896,0
1898,0
1900,1
1903,0
1905,1
1907,1
1909,1
1912,1
1915,1
1918,1
1921,1
1924,0
1926,1
1928,1
1930,0
1932,0
1934,1
1937,1
1940,0
1941,0
1943,0
1944,1
1946,0
1948,0
1950,0
1951,0
1952,0
1954,1
1957,1
1960,1
1963,1
1966,0
1967,1
1969,1
1973,1
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,1
1983,1
1985,1
1987,1
1990,1
1993,1
1995,0
1996,1
1998,0
1999,0
2000,1
2003,0
2005,0
2007,1
2008,1
2010,0
2011,0
2013,0
2015,1
2017,0
2019,1
2022,1
2025,1
2028,1
2031,1
2033,1
2035,1
2038,0
2039,1
2041,0
2042,1
2044,1
2046,1
2049,1
2051,1
2053,1
2055,1
2058,1
2060,1
2062,0
2063,1
2066,0
2067,0
2069,1
2072,0
2074,0
2075,0
2077,1
2080,0
2081,0
2082,0
2084,1
2087,1
2090,1
2093,1
2096,1
2099,0
2101,1
2104,1
2106,1
2109,0
2110,1
2113,0
2115,1
2117,0
2119,1
2121,1
2123,1
2126,0
2127,1
2130,1
2132,0
2133,1
2135,1
2138,1
2141,0
2142,0
2143,1
2145,0
2147,0
2148,0
2149,1
2152,1
2155,0
2156,0
2158,1
2160,0
2161,0
2163,0
2164,1
2167,1
2169,0
2171,0
2172,1
2175,1
2178,0
2180,1
2183,0
2184,0
2186,0
2188,1
2190,1
2193,1
2196,0
2198,1
2201,1
2203,1
2206,1
2208,0
2210,1
2213,0
2214,0
2215,0
2217,0
2219,0
2221,0
2222,0
2223,1
2226,1
2229,0
2230,1
2233,1
2235,1
2237,1
2240,1
2242,0
2243,1
2246,1
2248,1
2250,1
2252,0
2253,1
2255,1
2258,0
2260,1
2263,0
2264,1
2266,0
2268,0
2269,0
2271,1
2274,1
2276,0
2277,0
2278,1
2281,1
2283,1
2286,0
2288,1
2291,1
2294,1
2297,1
2300,0
2302,0
2303,1
2306,1
2309,1
2311,0
2312,1
2315,0
2316,1
2319,1
2322,0
2323,1
2326,0
2328,0
2330,0
2331,1
2334,1
2337,1
2340,1
2343,0
2344,1
2347,0
2349,1
2351,0
2352,1
2354,0
2355,0
2357,1
2360,0
2362,0
2364,1
2367,1
2370,1
2373,1
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,1
2387,1
2389,0
2390,1
2393,0
2394,1
2396,0
2398,1
2400,1
2402,1
2405,1
2407,1
2410,1
2413,0
2415,0
2417,1
2419,1
2422,0
2424,0
2426,0
2427,0
2428,1
2430,0
2431,0
2432,1
2434,0
2436,0
2437,1
2440,1
2443,1
2446,1
2449,1
2452,0
2453,0
2454,1
2456,1
2459,0
2460,0
2462,1
2465,1
2467,1
2470,1
2473,1
2476,1
2478,1
2480,1
2483,0
2485,1
2488,1
2491,1
2494,0
2496,1
2499,0
2500,1
2502,1
2504,1
2507,1
2509,0
2510,1
2512,0
2514,0
2516,1
2519,1
2522,1
2525,0
2526,0
2527,0
2528,0
2530,0
2532,1
2534,1
2536,0
2537,0
2538,1
2540,0
2542,0
2544,0
2545,0
2547,1
2549,1
2551,0
2552,1
2554,0
2555,0
2557,0
2558,0
2559,1
2562,1
2565,0
2566,1
2569,1
2571,0
2573,0
2575,0
2576,0
2577,1
2580,1
2582,0
2583,0
2585,0
2586,1
2589,1
2591,1
2593,0
2595,1
2597,1
2600,1
2603,1
2606,1
2609,0
2611,1
2613,1
2616,1
2619,0
2621,1
2624,1
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,1
2635,1
2638,0
2639,0
2641,1
2644,1
2646,1
2649,1
2651,1
2654,1
2657,0
2658,0
2659,1
2661,1
2664,1
2667,0
2668,1
2671,1
2674,1
2677,0
2679,1
2682,1
2684,0
2686,1
2689,1
2692,1
2695,0
2697,0
2698,1
2701,0
2703,1
2706,0
2707,1
2710,1
2712,0
2713,1
2716,0
2718,1
2720,1
2722,0
2723,0
2724,0
2725,1
2727,0
2728,0
2730,0
2731,0
2733,0
2735,1
2738,0
2739,0
2740,1
2743,1
2746,0
2747,1
2750,1
2753,1
2756,1
2759,0
2760,0
2761,0
2763,0
2764,1
2766,1
2769,1
2772,1
2774,0
2776,0
2778,1
2781,1
2784,1
2787,1
2790,1
2793,1
2796,1
2798,0
2800,1
2803,0
2804,0
2805,1
2807,0
2808,1
2810,1
2813,0
2815,0
2816,0
2817,0
2818,1
2820,1
2823,0
2824,1
2827,1
2830,0
2831,0
2832,0
2833,1
2836,1
2839,0
2840,0
2842,1
2845,1
2847,0
2849,1
2852,0
2853,1
2856,0
2857,1
2860,0
2861,0
2862,0
2864,0
2865,1
2867,0
2869,1
2871,0
2873,0
2874,0
2876,0
2877,0
2879,0
2881,1
2884,0
2885,1
2887,1
2889,0
2890,0
2891,1
2894,1
2896,0
2897,0
2899,1
2902,1
2905,1
2908,0
2910,1
2913,1
2916,1
2919,0
2921,0
2922,1
2925,1
2927,1
2930,0
2932,1
2935,1
2938,0
2939,1
2942,0
2944,1
2946,0
2948,1
2950,0
2951,1
2953,0
2954,1
2956,1
2959,1
2961,1
2963,0
2965,0
2967,0
2968,1
2971,1
2973,0
2974,1
2977,0
2978,0
2980,0
2982,1
2985,1
2988,1
2991,0
2993,1
2995,1
2998,1
3000,0
3002,0
3004,0
3005,1
3007,0
3008,0
3009,0
3011,0
3012,1
3015,1
3018,0
3019,0
3020,0
3022,1
3024,0
3026,0
3027,1
3030,0
3032,1
3035,1
3038,0
3040,1
3043,0
3045,1
3048,1
3051,1
3054,1
3057,0
3059,1
3062,0
3064,0
3066,0
3068,1
3070,0
3071,0
3073,0
3074,1
3077,0
3078,1
3081,0
3082,0
3083,1
3085,0
3086,1
3088,0
3089,0
3090,1
3093,1
3096,1
3098,1
3101,0
3102,1
3105,0
3107,0
3109,0
3111,1
3113,1
3115,1
3118,0
3120,1
3123,1
3126,1
3129,1
3131,0
3132,0
3133,1
3135,1
3137,1
3139,0
3141,0
3143,0
3145,1
3147,0
3149,1
3151,1
3154,1
3156,0
3158,0
3159,0
3160,0
3161,1
3164,0
3166,0
3167,0
3168,1
3171,0
3173,0
3174,1
3177,1
3180,0
3181,0
3182,1
3185,0
3186,1
3189,0
3190,0
3191,1
3193,0
3194,0
3195,1
3198,1
3200,1
3203,0
3204,0
3206,1
3209,0
3210,1
3212,1
3215,1
3216,1
3218,1
3221,1
3222,1
3225,1
3228,0
3230,0
3231,1
3233,1
3235,0
3236,1
3239,0
3240,0
3241,0
3243,1
3246,1
3248,0
3250,1
3252,0
3253,1
3256,0
3257,0
3258,0
3260,1
3263,0
3264,1
3266,1
3269,0
3270,0
3271,0
3272,1
3275,0
3277,0
3279,0
3281,0
3282,1
3285,1
3288,0
3290,0
3291,1
3294,0
3295,1
3297,1
3299,1
3302,0
3303,1
3306,1
3309,0
3311,0
3312,0
3313,0
3315,1
3318,0
3320,1
3322,1
3325,0
3326,1
3329,0
3331,0
3333,1
3336,1
3339,1
3342,0
3344,1
3347,1
3350,0
3352,1
3354,1
3357,0
3359,1
3361,1
3364,1
3366,0
3367,0
3368,1
3371,0
3373,1
3376,1
3379,1
3382,1
3385,1
3388,0
3389,1
3392,1
3395,0
3396,0
3398,1
3400,0
3401,0
3402,1
3405,0
3406,1
3409,1
3411,1
3414,0
3415,0
3416,1
3419,1
3422,1
3425,1
3428,0
3429,1
3432,0
3433,1
3436,0
3438,0
3440,0
3441,0
3443,0
3444,0
3445,1
3447,0
3449,1
3452,1
3455,1
3458,1
3460,0
3462,1
3465,0
3466,1
3468,1
3471,0
3473,1
3476,0
3478,1
3481,1
3483,0
3485,0
3487,1
3490,1
3493,0
3494,0
3496,0
3498,0
3500,1
3503,0
3505,1
3508,0
3510,1
3512,0
3513,0
3515,0
3516,0
3518,1
3520,0
3522,0
3524,0
3526,1
3528,0
3529,0
3531,0
3532,0
3534,0
3535,1
3537,1
3540,1
3542,1
3544,0
3545,0
3547,1
3550,0
3551,0
3552,0
3553,1
3556,1
3559,1
3562,1
3564,0
3565,1
3567,1
3570,1
3572,0
3573,0
3574,1
3577,0
3578,0
3579,0
3581,0
3582,0
3583,0
3585,0
3586,1
3589,0
3591,1
3594,0
3595,0
3596,1
3599,0
3601,1
3603,0
3604,0
3606,0
3607,1
3610,0
3611,0
3612,1
3615,0
3616,0
3618,1
3621,1
3623,1
3625,1
3628,1
3630,0
3632,0
3633,1
3636,1
3639,1
3641,0
3643,0
3645,1
3648,0
3649,1
3652,1
3655,1
3658,0
3659,1
3662,1
3664,1
3667,0
3669,0
3671,0
3673,1
3675,1
3677,1
3680,0
3682,0
3683,0
3684,0
3685,1
3688,1
3691,0
3693,0
3694,1
3697,0
3698,0
3699,1
3702,0
3703,0
3704,0
3705,1
3707,0
3709,0
3711,1
3714,1
3716,1
3719,0
3720,0
3722,0
3723,0
3724,1
3726,1
3729,0
3730,1
3733,1
3735,1
3738,0
3739,1
3741,1
3744,1
3746,0
3748,1
3751,0
3752,1
3755,0
3757,1
3760,1
3762,1
3764,1
3767,0
3769,0
3771,1
3774,0
3776,0
3777,0
3778,0
3779,0
3781,1
3784,1
3786,1
3788,0
3789,0
3790,0
3791,1
3793,1
3796,1
3799,0
3800,1
3803,1
3806,1
3808,0
3809,0
3811,1
3814,1
3816,1
3819,1
3821,0
3822,0
3823,0
3825,1
3827,1
3830,1
3832,1
3835,1
3838,1
3840,1
3843,1
3846,0
3848,1
3850,1
3853,1
3855,1
3858,1
3861,1
3864,1
3866,1
3869,1
3872,1
3875,0
3876,0
3878,0
3879,0
3880,1
3883,1
3885,1
3888,1
3890,1
3892,0
3893,1
3896,1
3899,0
3901,0
3902,0
3903,0
3904,0
3906,1
3909,0
3911,1
3913,1
3916,0
3917,0
3918,1
3921,1
3924,1
3927,0
3928,1
3931,1
3934,1
3936,0
3938,1
3941,1
3942,1
3945,0
3947,1
3949,0
3951,1
3954,1
3956,1
3958,0
3960,0
3962,1
3964,0
3965,0
3967,0
3969,0
3970,1
3972,0
3973,1
3975,1
3977,0
3978,1
3980,0
3982,1
3984,1
3986,1
3989,1
3992,1
3995,1
3998,1
4000,1
4003,0
4004,1
4006,0
4007,0
4009,1
4012,0
4013,1
4016,1
4019,1
4022,1
4024,1
4026,0
4028,1
4030,1
4032,1
4035,0
4037,1
4040,0
4042,0
4044,0
4046,0
4048,1
4051,0
4052,1
4054,1
4056,0
4057,0
4059,0
4061,1
4064,1
4067,1
4070,1
4073,1
4076,1
4079,0
4080,0
4081,1
4083,0
4084,0
4085,1
4088,1
4090,1
4093,1
4095,0
4097,0
4098,1
4101,1
4104,1
4107,1
4110,1
4112,0
4113,1
4115,1
4117,0
4119,1
4121,0
4122,0
4124,1
4127,1
4130,0
4131,0
4132,1
4134,0
4135,0
4137,0
4139,1
4142,0
4143,1
4146,1
4149,1
4151,1
4152,1
4154,1
4157,0
4159,0
4161,0
4162,1
4165,0
4166,1
4169,1
4171,0
4172,0
4174,1
4177,0
4179,0
4180,1
4183,0
4184,1
4187,1
4190,0
4191,1
4194,1
4196,1
4199,0
4200,1
4203,1
4206,1
4209,0
4210,0
4212,0
4214,1
4217,0
4218,0
4219,0
4220,0
4222,1
4224,1
4226,0
4228,0
4230,1
4232,0
4233,0
4234,0
4236,1
4239,1
4241,1
4244,0
4245,0
4246,1
4249,0
4250,1
4253,0
4254,0
4256,0
4257,1
4260,0
4261,0
4262,1
4265,1
4268,1
4271,1
4273,0
4274,0
4275,0
4276,0
4277,1
4280,1
4283,1
4286,1
4288,0
4289,0
4290,1
4293,1
4295,0
4296,0
4297,0
4299,1
4302,0
4304,1
4306,0
4308,0
4310,0
4312,0
4313,0
4315,1
4318,0
4320,0
4321,0
4323,0
4324,0
4325,0
4326,0
4328,1
4331,0
4332,1
4335,1
4337,0
4339,0
4341,1
4343,1
4346,1
4349,0
4351,0
4352,0
4353,0
4354,1
4357,0
4359,0
4360,0
4362,1
4364,0
4365,1
4368,0
4369,1
4372,1
4375,0
4377,1
4379,0
4381,0
4383,1
4386,0
4387,1
4389,1
4392,1
4395,1
4397,0
4398,0
4399,1
4402,1
4405,1
4408,1
4411,1
4413,1
4416,1
4419,1
4422,0
4424,1
4427,1
4430,1
4432,1
4435,0
4436,0
4437,1
4440,0
4442,1
4444,0
4446,0
4447,1
4449,1
4452,1
4455,1
4458,1
4461,0
4463,0
4464,1
4467,1
4470,1
4472,0
4474,1
4476,1
4478,1
4481,1
4483,1
4486,0
4488,1
4491,1
4494,0
4495,1
4497,0
4498,1
4501,0
4502,1
4505,0
4506,0
4507,1
4509,0
4510,1
4512,1
4515,1
4518,0
4519,1
4522,0
4523,0
4524,1
4527,1
4530,1
4533,1
4535,1
4538,1
4541,1
4544,0
4546,0
4547,1
4549,0
4550,1
4553,1
4556,0
4558,0
4559,1
4562,0
4564,1
4567,0
4568,0
4570,0
4571,0
4573,1
4576,0
4577,0
4578,1
4581,0
4582,1
4585,1
4588,1
4591,1
4594,0
4595,1
4598,1
4601,0
4602,1
4605,1
4608,1
4611,0
4612,1
4614,0
4616,0
4618,1
4621,1
4624,1
4627,0
4628,0
4629,0
4630,1
4633,0
4635,1
4637,0
4639,0
4640,1
4642,0
4643,1
4646,1
4648,0
4649,1
4652,1
4654,1
4657,0
4659,0
4660,0
4662,1
4665,0
4666,1
4669,0
4670,1
4673,0
4674,0
4676,0
4678,0
4679,1
4682,0
4684,0
4685,0
4687,0
4688,1
4691,0
4692,0
4694,0
4696,1
4699,0
4700,0
4702,1
4704,1
4706,1
4709,1
4711,0
4712,0
4714,0
4716,1
4719,1
4722,1
4724,0
4725,0
4726,0
4727,0
4729,0
4731,1
4734,1
4736,1
4739,0
4740,1
4743,1
4746,0
4748,0
4750,1
4753,1
4756,1
4759,0
4760,1
4763,1
4766,1
4769,0
4770,1
4773,1
4775,0
4776,1
4778,1
4781,1
4784,1
4787,1
4790,1
4793,0
4794,0
4795,0
4796,1
4799,1
4801,1
4804,1
4807,1
4809,0
4811,1
4814,0
4816,1
4819,1
4822,0
4824,0
4826,0
4827,0
4828,0
4830,0
4832,0
4833,0
4835,1
4838,1
4840,0
4842,0
4844,1
4847,0
4848,0
4850,1
4853,0
4854,0
4855,0
4857,0
4859,1
4861,0
4862,0
4864,0
4865,1
4868,0
4869,0
4870,1
4872,1
4875,0
4876,0
4878,1
4881,1
4884,1
4887,1
4889,1
4892,1
4894,1
4897,1
4899,0
4900,1
4903,1
4906,0
4908,0
4909,1
4912,0
4913,1
4916,1
4918,0
4919,0
4920,0
4921,1
4923,0
4924,1
4927,1
4930,1
4933,1
4936,1
4939,0
4940,1
4942,1
4944,1
4947,0
4948,1
4951,1
4953,0
4954,1
4956,1
4959,1
4961,0
4963,0
4964,1
4967,1
4969,0
4970,0
4971,0
4972,0
4973,0
4975,0
4976,1
4979,0
4980,1
4982,1
4984,1
4987,1
4990,0
4992,0
4993,0
4994,1
4996,0
4997,0
4998,1
5000,0
5001,1
5003,1
5006,1
5009,0
5010,1
5013,1
5016,1
5018,1
5021,0
5022,1
5023,1
5026,0
5028,1
5031,1
5034,1
5037,1
5040,1
5042,0
5043,0
5044,0
5045,0
5047,0
5049,0
5050,0
5051,0
5053,0
5055,0
5056,1
5059,0
5060,1
5062,0
5064,1
5066,1
5069,0
5071,1
5074,1
5077,1
5080,1
5082,0
5083,0
5084,0
5085,0
5086,1
5089,0
5090,1
5093,0
5094,1
5096,1
5099,0
5101,0
5103,1
5105,0
5106,0
5108,0
5110,1
5113,0
5114,0
5115,0
5117,0
5118,0
5119,1
5122,1
5125,0
5126,0
5127,1
5130,0
5132,1
5135,1
5138,0
5139,1
5141,0
5142,1
5145,1
5148,1
5151,0
5153,0
5155,0
5156,1
5158,1
5160,0
5161,1
5164,0
5165,1
5168,1
5171,1
5173,1
5176,1
5179,0
5181,0
5182,0
5184,0
5185,1
5188,1
5191,1
5194,0
5196,1
5198,1
5201,0
5203,0
5205,1
5208,0
5209,1
5211,0
5212,0
5214,0
5215,1
5218,0
5219,0
5221,1
5222,1
5225,0
5227,1
5230,0
5232,1
5235,1
5238,1
5240,1
5243,1
5246,1
5249,0
5250,1
5253,0
5254,1
5257,1
5260,0
5261,1
5263,0
5264,0
5266,0
5267,1
5269,1
5271,0
5273,0
5274,0
5276,1
5279,0
5281,0
5282,1
5284,1
5286,0
5287,1
5290,0
5292,1
5294,1
5297,0
5298,0
5299,0
5301,0
5303,0
5305,1
5308,0
5309,1
5312,0
5314,0
5315,1
5317,1
5319,0
5321,1
5324,1
5327,0
5328,1
5330,1
5332,0
5334,0
5336,0
5338,0
5340,1
5343,1
5346,1
5349,1
5352,0
5353,1
5356,1
5359,0
5360,0
5361,1
5364,1
5367,1
5370,1
5373,0
5375,1
5378,1
5381,1
5384,0
5385,1
5387,0
5388,0
5390,0
5392,0
5393,1
5395,0
5396,0
5398,0
5399,0
5400,0
5402,1
5405,1
5408,1
5411,1
5414,1
5416,1
5419,1
5422,1
5424,0
5426,1
5429,0
5431,1
5434,1
5437,1
5440,1
5443,1
5445,1
5447,0
5449,1
5452,0
5453,1
5456,1
5459,0
5460,0
5461,0
5462,0
5464,1
5467,0
5469,0
5470,1
5473,0
5474,0
5476,0
5478,1
5481,0
5482,0
5484,1
5486,0
5487,0
5488,1
5491,1
5494,1
5497,0
5498,0
5500,0
5501,0
5502,1
5505,1
5508,1
5510,1
5513,1
5516,1
5519,0
5521,0
5523,1
5525,0
5526,0
5528,1
5531,0
5532,1
5534,0
5536,0
5538,0
5540,1
5542,1
5545,0
5547,0
5549,1
5551,1
5553,1
5555,1
5557,1
5560,0
5562,1
5564,0
5565,0
5567,1
5570,0
5571,1
5574,1
5576,1
5579,0
5580,1
5583,0
5584,0
5585,1
5588,0
5590,1
5592,1
5594,1
5597,0
5599,1
5602,1
5605,1
5607,1
5610,1
5613,1
5616,1
5619,1
5622,0
5623,1
5626,1
5629,0
5630,0
5631,1
5634,1
5637,1
5640,0
5641,0
5642,1
5645,0
5647,1
5650,1
5653,0
5654,1
5656,0
5657,1
5660,1
5662,1
5664,0
5665,1
5668,1
5671,0
5672,0
5673,1
5676,0
5678,0
5680,1
5682,0
5683,1
5685,1
5687,1
5690,0
5691,1
5694,1
5697,0
5699,1
5702,0
5704,1
5707,0
5709,0
5711,1
5714,1
5716,0
5718,1
5721,0
5722,1
5724,1
5726,0
5728,0
5729,0
5731,0
5733,1
5735,1
5738,1
5741,0
5742,0
5743,1
5746,1
5749,1
5752,0
5754,0
5755,0
5757,0
5759,1
5762,0
5763,0
5765,1
5766,1
5769,1
5771,1
5773,0
5774,1
5776,1
5779,1
5782,0
5783,0
5784,0
5785,0
5786,1
5789,1
5791,1
5794,0
5795,1
5798,1
5801,0
5802,0
5804,0
5806,1
5808,0
5810,0
5811,0
5813,0
5815,0
5816,0
5817,1
5819,1
5822,0
5824,1
5827,0
5828,0
5829,1
5832,1
5835,0
5837,1
5840,0
5842,1
5845,1
5848,1
5851,1
5854,1
5857,1
5860,1
5862,0
5863,0
5864,0
5865,0
5866,1
5869,1
5872,1
5875,1
5877,0
5878,1
5881,1
5884,1
5886,1
5889,1
5892,0
5894,1
5897,1
5900,1
5901,1
5904,1
5906,0
5908,1
5911,1
5914,0
5916,0
5918,1
5921,1
5923,0
5924,1
5927,1
5930,1
5932,1
5935,0
5936,0
5937,0
5938,0
5940,1
5943,1
5945,1
5947,1
5949,0
5950,0
5951,0
5953,1
5955,0
5956,0
5958,1
5961,1
5964,1
5967,1
